Timestamp,Location,Crime Type,Crime Count,Population Density,Police Presence
2020-01-01,Bengaluru,Burglary,8,2428,High
2020-01-01,Chennai,Burglary,49,20760,Medium
2020-01-01,Delhi,Theft,4,4134,High
2020-01-01,Kolkata,Theft,43,13056,Low
2020-01-01,Delhi,Assault,27,26482,Medium
2020-01-02,Delhi,Vandalism,26,26820,Low
2020-01-02,Kolkata,Fraud,48,17219,Low
2020-01-02,Kolkata,Vandalism,29,9727,Low
2020-01-02,Chennai,Burglary,9,27098,Low
2020-01-02,Chennai,Assault,28,2314,Low
2020-01-03,Mumbai,Vandalism,11,7417,Low
2020-01-03,Mumbai,Burglary,19,16674,Medium
2020-01-03,Chennai,Burglary,33,24100,Low
2020-01-03,Mumbai,Fraud,16,13973,Medium
2020-01-04,Kolkata,Theft,33,6928,High
2020-01-04,Kolkata,Fraud,49,24177,High
2020-01-05,Kolkata,Assault,36,2017,Low
2020-01-05,Delhi,Theft,23,16111,Low
2020-01-05,Mumbai,Burglary,12,6710,Low
2020-01-06,Bengaluru,Vandalism,4,29788,Low
2020-01-07,Mumbai,Fraud,8,2206,Low
2020-01-07,Bengaluru,Fraud,19,18843,Medium
2020-01-07,Mumbai,Vandalism,2,14928,Medium
2020-01-07,Kolkata,Vandalism,18,8089,High
2020-01-08,Bengaluru,Assault,48,3151,Low
2020-01-08,Chennai,Fraud,26,22931,Medium
2020-01-08,Mumbai,Vandalism,19,19942,Low
2020-01-09,Kolkata,Burglary,27,6004,Low
2020-01-09,Bengaluru,Vandalism,5,6737,Low
2020-01-10,Mumbai,Vandalism,44,2443,Medium
2020-01-10,Delhi,Burglary,23,26843,Medium
2020-01-10,Chennai,Assault,2,9876,Medium
2020-01-10,Mumbai,Assault,48,9861,Medium
2020-01-10,Bengaluru,Vandalism,17,16803,Medium
2020-01-11,Bengaluru,Fraud,6,11114,Medium
2020-01-11,Mumbai,Fraud,45,1744,Low
2020-01-11,Bengaluru,Vandalism,9,17199,High
2020-01-11,Mumbai,Fraud,33,7599,High
2020-01-12,Mumbai,Vandalism,2,19212,Medium
2020-01-12,Kolkata,Vandalism,32,26904,Medium
2020-01-12,Delhi,Burglary,25,25097,High
2020-01-12,Mumbai,Fraud,8,17767,Medium
2020-01-12,Delhi,Fraud,7,15538,Medium
2020-01-13,Chennai,Vandalism,3,19223,Medium
2020-01-13,Kolkata,Fraud,32,25671,Medium
2020-01-14,Delhi,Vandalism,24,14432,High
2020-01-14,Bengaluru,Fraud,7,20817,High
2020-01-14,Delhi,Burglary,7,1668,Low
2020-01-15,Bengaluru,Burglary,14,10412,Medium
2020-01-15,Mumbai,Assault,32,3167,High
2020-01-15,Kolkata,Vandalism,2,25403,Medium
2020-01-16,Mumbai,Theft,45,21126,Low
2020-01-17,Mumbai,Fraud,46,17272,Medium
2020-01-17,Bengaluru,Theft,48,15331,Medium
2020-01-17,Bengaluru,Vandalism,45,20974,Medium
2020-01-17,Mumbai,Fraud,33,5059,High
2020-01-17,Chennai,Fraud,27,28762,Low
2020-01-17,Delhi,Assault,34,1856,High
2020-01-18,Delhi,Burglary,31,18276,High
2020-01-18,Mumbai,Vandalism,24,12528,Medium
2020-01-19,Bengaluru,Burglary,32,10913,Low
2020-01-19,Bengaluru,Assault,1,18981,Low
2020-01-19,Delhi,Vandalism,40,17191,Medium
2020-01-19,Chennai,Burglary,39,17535,Low
2020-01-19,Delhi,Assault,10,12452,High
2020-01-19,Mumbai,Theft,32,26005,Low
2020-01-19,Mumbai,Burglary,34,17910,Low
2020-01-19,Kolkata,Vandalism,26,28663,Medium
2020-01-20,Kolkata,Theft,19,5542,High
2020-01-20,Kolkata,Assault,28,4718,High
2020-01-21,Mumbai,Vandalism,42,20152,Medium
2020-01-21,Mumbai,Burglary,18,28186,Low
2020-01-21,Delhi,Assault,46,16817,Medium
2020-01-21,Kolkata,Vandalism,38,29760,Medium
2020-01-21,Kolkata,Assault,49,7834,High
2020-01-21,Chennai,Theft,31,15351,Low
2020-01-21,Bengaluru,Burglary,10,15097,High
2020-01-22,Delhi,Assault,44,26707,Medium
2020-01-22,Kolkata,Assault,7,11130,Low
2020-01-22,Delhi,Fraud,33,17520,High
2020-01-22,Mumbai,Fraud,15,19758,Low
2020-01-22,Chennai,Theft,11,26256,High
2020-01-22,Kolkata,Fraud,21,17970,High
2020-01-23,Kolkata,Vandalism,15,23074,Low
2020-01-23,Mumbai,Assault,17,16758,High
2020-01-23,Chennai,Burglary,45,25785,Low
2020-01-23,Bengaluru,Burglary,35,18171,Low
2020-01-23,Delhi,Theft,24,4724,Low
2020-01-24,Mumbai,Theft,41,8004,Low
2020-01-25,Bengaluru,Assault,15,1111,Low
2020-01-25,Bengaluru,Burglary,45,12055,Medium
2020-01-25,Kolkata,Burglary,4,24420,High
2020-01-25,Kolkata,Assault,11,19557,Low
2020-01-25,Kolkata,Assault,49,18445,Medium
2020-01-25,Delhi,Burglary,22,4857,High
2020-01-26,Delhi,Vandalism,17,15776,Low
2020-01-26,Kolkata,Burglary,3,28516,High
2020-01-27,Kolkata,Vandalism,37,24022,High
2020-01-27,Kolkata,Vandalism,9,5925,Medium
2020-01-27,Bengaluru,Theft,1,22777,Medium
2020-01-28,Delhi,Burglary,21,11158,High
2020-01-28,Delhi,Burglary,3,22591,Low
2020-01-28,Chennai,Burglary,27,23120,Low
2020-01-28,Bengaluru,Fraud,22,1193,High
2020-01-29,Delhi,Assault,34,21658,Low
2020-01-29,Delhi,Fraud,38,24042,Medium
2020-01-29,Bengaluru,Vandalism,48,28871,Low
2020-01-29,Bengaluru,Theft,32,16615,High
2020-01-29,Mumbai,Assault,13,9906,High
2020-01-29,Delhi,Theft,33,18124,High
2020-01-31,Delhi,Theft,31,29486,High
2020-01-31,Chennai,Burglary,42,1489,Medium
2020-02-01,Kolkata,Theft,10,21678,High
2020-02-01,Delhi,Vandalism,40,27504,Medium
2020-02-01,Delhi,Vandalism,41,16624,Medium
2020-02-02,Bengaluru,Assault,5,6587,High
2020-02-03,Chennai,Burglary,17,21754,High
2020-02-03,Delhi,Assault,9,24589,Medium
2020-02-03,Mumbai,Vandalism,48,24561,Medium
2020-02-04,Kolkata,Theft,49,6019,High
2020-02-04,Delhi,Vandalism,33,6887,Medium
2020-02-04,Chennai,Fraud,49,21710,Medium
2020-02-05,Mumbai,Theft,17,18985,High
2020-02-05,Bengaluru,Fraud,28,24640,High
2020-02-05,Chennai,Vandalism,19,24922,Low
2020-02-06,Bengaluru,Assault,34,16279,Low
2020-02-06,Bengaluru,Fraud,9,27505,High
2020-02-06,Delhi,Assault,19,17747,Medium
2020-02-07,Mumbai,Vandalism,49,9126,Low
2020-02-07,Mumbai,Assault,21,17777,Medium
2020-02-07,Chennai,Assault,1,7421,High
2020-02-08,Delhi,Vandalism,2,12552,High
2020-02-08,Kolkata,Fraud,8,7405,Medium
2020-02-08,Delhi,Assault,45,26090,High
2020-02-08,Kolkata,Vandalism,2,13415,Medium
2020-02-08,Kolkata,Vandalism,33,28924,Low
2020-02-09,Kolkata,Theft,3,1435,High
2020-02-09,Delhi,Fraud,43,12374,Medium
2020-02-09,Mumbai,Assault,8,29755,Medium
2020-02-09,Chennai,Assault,22,9676,Medium
2020-02-09,Chennai,Vandalism,35,24148,Medium
2020-02-10,Kolkata,Theft,49,6301,High
2020-02-10,Bengaluru,Burglary,47,12363,Medium
2020-02-10,Bengaluru,Theft,32,8243,High
2020-02-10,Chennai,Burglary,34,11282,Low
2020-02-10,Bengaluru,Assault,13,4996,High
2020-02-10,Mumbai,Vandalism,34,12505,High
2020-02-11,Chennai,Theft,8,15244,High
2020-02-11,Kolkata,Burglary,10,3401,High
2020-02-11,Mumbai,Burglary,2,19708,Low
2020-02-12,Chennai,Burglary,47,15212,Medium
2020-02-12,Mumbai,Fraud,30,5465,Medium
2020-02-12,Mumbai,Fraud,9,12716,Medium
2020-02-12,Kolkata,Vandalism,11,9819,Medium
2020-02-12,Mumbai,Assault,12,15633,Medium
2020-02-12,Delhi,Vandalism,27,5158,Low
2020-02-12,Mumbai,Assault,8,19162,Medium
2020-02-13,Delhi,Assault,8,10275,High
2020-02-14,Kolkata,Vandalism,6,10746,Low
2020-02-15,Bengaluru,Vandalism,21,1393,Low
2020-02-16,Chennai,Vandalism,40,7624,Medium
2020-02-16,Mumbai,Vandalism,5,25816,High
2020-02-16,Delhi,Burglary,22,15007,Low
2020-02-16,Kolkata,Fraud,7,11019,Low
2020-02-16,Kolkata,Assault,12,14083,Medium
2020-02-17,Chennai,Assault,46,17485,High
2020-02-18,Delhi,Vandalism,46,9222,Medium
2020-02-18,Delhi,Theft,17,12701,High
2020-02-18,Chennai,Burglary,15,26169,Low
2020-02-18,Mumbai,Fraud,33,28341,Low
2020-02-19,Bengaluru,Assault,31,10700,High
2020-02-19,Mumbai,Burglary,10,13394,High
2020-02-19,Mumbai,Theft,13,26123,High
2020-02-19,Bengaluru,Fraud,36,14742,Medium
2020-02-20,Delhi,Assault,35,25355,High
2020-02-20,Mumbai,Fraud,14,29715,High
2020-02-20,Bengaluru,Fraud,36,17369,High
2020-02-20,Delhi,Vandalism,5,18246,High
2020-02-21,Chennai,Burglary,7,10472,High
2020-02-22,Delhi,Assault,42,9958,High
2020-02-22,Kolkata,Vandalism,10,13504,Low
2020-02-22,Bengaluru,Burglary,23,8150,Low
2020-02-23,Chennai,Theft,29,10412,Low
2020-02-23,Mumbai,Theft,16,17205,Low
2020-02-23,Chennai,Burglary,21,14397,Medium
2020-02-23,Mumbai,Theft,3,4770,High
2020-02-23,Bengaluru,Vandalism,7,21452,Medium
2020-02-24,Kolkata,Assault,3,1620,Low
2020-02-24,Delhi,Vandalism,45,15187,Low
2020-02-24,Kolkata,Theft,15,4346,High
2020-02-24,Kolkata,Theft,22,23966,Low
2020-02-24,Bengaluru,Burglary,46,26935,Low
2020-02-25,Mumbai,Assault,37,16702,Medium
2020-02-25,Kolkata,Burglary,7,25341,Low
2020-02-26,Bengaluru,Theft,24,7669,High
2020-02-26,Delhi,Assault,30,25647,Low
2020-02-27,Mumbai,Fraud,29,19595,Medium
2020-02-27,Chennai,Theft,14,14031,Medium
2020-02-27,Kolkata,Fraud,36,17045,Medium
2020-02-28,Bengaluru,Vandalism,18,7692,High
2020-02-28,Chennai,Vandalism,47,18658,Low
2020-02-28,Mumbai,Assault,29,6834,Medium
2020-02-29,Chennai,Assault,2,8860,Medium
2020-03-01,Kolkata,Vandalism,8,8450,High
2020-03-01,Delhi,Fraud,47,20745,Medium
2020-03-01,Chennai,Theft,41,19932,Medium
2020-03-01,Kolkata,Fraud,36,18425,Low
2020-03-01,Mumbai,Theft,48,1955,Low
2020-03-01,Kolkata,Vandalism,21,16470,High
2020-03-02,Bengaluru,Fraud,4,12371,Low
2020-03-02,Mumbai,Assault,12,25967,Medium
2020-03-02,Chennai,Theft,38,23231,High
2020-03-03,Delhi,Assault,24,11749,High
2020-03-03,Chennai,Vandalism,23,23110,High
2020-03-03,Bengaluru,Burglary,3,6029,High
2020-03-04,Chennai,Theft,41,20848,Medium
2020-03-05,Mumbai,Fraud,25,7435,High
2020-03-05,Kolkata,Burglary,32,3047,Medium
2020-03-05,Mumbai,Theft,31,10752,Low
2020-03-06,Chennai,Theft,20,4550,Medium
2020-03-06,Mumbai,Burglary,40,23196,High
2020-03-07,Delhi,Burglary,26,4763,Low
2020-03-07,Bengaluru,Theft,21,10868,High
2020-03-08,Bengaluru,Fraud,14,16144,Low
2020-03-08,Delhi,Assault,29,12491,High
2020-03-08,Bengaluru,Vandalism,9,12465,Low
2020-03-09,Chennai,Assault,5,26090,High
